VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,139.7,189.99,750.0,2484,347014.8,436.0,86315.64,63314.83,343.7,257032.07,-260699.15999999997,-302.0300376617725,0.17552334943639292,0.24873763309230615
3252,E & J GALLO WINERY,14622,La Marca Prosecco,8.66,12.99,750.0,39661,343464.26,6603.0,81186.36,19171.12,740.35,61966.91,-262277.9,-323.05660704581413,0.16648596858374726,0.23637498702193935
8004,SAZERAC CO INC,3246,Bentley's Vodka,6.71,8.79,1750.0,50977,342055.67,9107.0,80050.53,21386.07,16731.91,50293.62,-262005.13999999998,-327.2996943305684,0.17864919473488045,0.23402778267058108
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37.29,49.99,1750.0,9129,340420.41000000003,1693.0,82317.07,45711.61,3111.42,257032.07,-258103.34000000003,-313.5477732625809,0.1854529521305729,0.2418100313080523
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,7.68,9.99,1750.0,43827,336591.36,8269.0,83916.31,24775.68,15192.199999999999,17932.33,-252675.05,-301.10362335998803,0.18867364866406552,0.2493121332645021
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,5.84,8.99,1500.0,57541,336039.44,10716.0,107645.84,23102.86,2407.39,79528.99,-228393.6,-212.17132032227167,0.18623242557480754,0.3203369223564948
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,21.99,750.0,22650,332955.0,3925.0,85367.75,33763.93,3091.05,5861.03,-247587.25,-290.024335887967,0.17328918322295805,0.25639425748224237
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30.21,42.99,750.0,10982,331766.22,2019.0,88325.81,53902.69,1590.59,123780.22,-243440.40999999997,-275.6163911771655,0.18384629393553087,0.26622906334466484
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40.14,54.99,750.0,8213,329669.82,1388.0,82684.12,47883.99,1093.53,257032.07,-246985.7,-298.7099578492219,0.16900036527456472,0.25080888508386967
8112,MOET HENNESSY USA INC,8622,Dom Perignon,87.09,145.99,750.0,3744,326064.95999999996,664.0,94945.36,51200.43,73.86,48347.26,-231119.59999999998,-243.42379659206094,0.17735042735042736,0.29118541286987726
480,BACARDI USA INC,508,Bacardi Superior Rum,9.77,12.99,1000.0,33327,325604.79,7002.0,94743.48,19633.99,7352.1,89286.27,-230861.31,-243.66986519811178,0.2100999189846071,0.290976923281749
1128,BROWN-FORMAN CORP,2143,Canadian Mist,10.07,12.99,1750.0,32298,325240.86,5690.0,77898.1,27608.94,10454.5,68601.68,-247342.75999999998,-317.5209151442718,0.17617189918880427,0.23950895960612087
3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,49.62,66.99,750.0,6517,323373.54000000004,1131.0,81411.69,48908.229999999996,891.1,257032.07,-241961.85000000003,-297.2077474377452,0.17354611017339266,0.2517574257930936
4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50.33,74.99,750.0,6388,321508.04000000004,1303.0,91613.48999999999,36159.89,145.44,144929.24,-229894.55000000005,-250.93962690429112,0.20397620538509706,0.2849492970689006
8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,46.66,69.99,1750.0,6882,321114.12,1335.0,90797.65,35309.82,2453.17,48347.26,-230316.47,-253.6590649647871,0.19398430688753268,0.2827581982380594
7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,11.9,14.99,750.0,26768,318539.2,5097.0,80230.03,34232.45,4013.09,38994.78,-238309.17,-297.03238301169773,0.190413927077107,0.2518686240186451
3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,13.07,16.99,1750.0,23979,313405.53,4485.0,86172.15,36231.67,8240.92,14069.87,-227233.38000000003,-263.69700651544616,0.18703865882647316,0.2749541464695916
1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,18.37,24.99,1750.0,16948,311334.76,3329.0,86129.70999999999,37820.399999999994,6117.17,8497.59,-225205.05000000002,-261.47197058947495,0.19642435685626622,0.2766466230754317
17035,PERNOD RICARD USA,2646,Chivas Regal,43.3,58.99,1750.0,7190,311327.0,1265.0,71073.35,41087.700000000004,2324.86,123780.22,-240253.65,-338.03619781535554,0.17593880389429764,0.2282916354829488
3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,20.79,25.99,1750.0,14826,308232.54,2715.0,74386.84999999999,41335.92,4989.06,257032.07,-233845.69,-314.36428616079326,0.18312424119789558,0.24133353993059914
4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15.03,19.99,1750.0,20484,307874.52,3627.0,74051.73,36191.329999999994,6664.3099999999995,144929.24,-233822.79000000004,-315.75601272245774,0.17706502636203866,0.24052568559424792
1485,CASTLE BRANDS CORP.,1269,Jeffersons Bourbon,19.11,25.99,750.0,16070,307097.7,2586.0,68169.14,35084.72,2036.76,8497.59,-238928.56,-350.49372780703993,0.1609209707529558,0.2219786732365628
1128,BROWN-FORMAN CORP,1789,Jack Daniels Tennesse Fire,17.16,22.99,750.0,17728,304212.48,3094.0,72448.06,36353.49,2436.42,68601.68,-231764.41999999998,-319.9042458831886,0.17452617328519857,0.23814953285282708
1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,5.95,8.99,750.0,51037,303670.15,9422.0,87296.78,16930.94,1056.95,79528.99,-216373.37000000002,-247.859508678327,0.18461116444932107,0.28747237751224475
3960,DIAGEO NORTH AMERICA INC,1384,Bulleit 95 Rye,18.93,25.99,750.0,16040,303637.2,2815.0,75120.84999999999,37082.189999999995,2216.95,257032.07,-228516.35000000003,-304.19830180302813,0.17549875311720697,0.24740331553577752
12546,JIM BEAM BRANDS COMPANY,5391,Kamora Coffee,12.02,15.99,1750.0,25046,301052.92,4849.0,79464.51,34887.77,8909.24,123880.97,-221588.40999999997,-278.8520435097379,0.19360376906492055,0.26395528732954987
1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,5.06,9.99,750.0,59378,300452.68,10607.0,101999.43000000001,19587.510000000002,1190.54,79528.99,-198453.25,-194.5630970682875,0.17863518474856008,0.33948583850208963
17035,PERNOD RICARD USA,2932,Jameson Black Barrel,24.61,31.99,750.0,12195,300118.95,2238.0,72203.62,41633.07,1762.8,123780.22,-227915.33000000002,-315.65637567756306,0.1835178351783518,0.24058334203821516
17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,24.02,31.99,1000.0,12491,300033.82,1959.0,63513.41,19453.98,2056.95,123780.22,-236520.41,-372.3944439449873,0.15683291970218557,0.21168750242889287
3664,WILLIAM GRANT & SONS INC,1956,Balvenie 12 Yr Doublewood S,39.99,53.99,750.0,7501,299964.99,1130.0,65149.700000000004,43545.49,890.36,30234.420000000002,-234815.28999999998,-360.4242076325754,0.1506465804559392,0.2171910128578672
3252,E & J GALLO WINERY,3180,New Amsterdam Vodka,10.94,16.99,1750.0,27398,299734.12,5166.0,88762.34,36515.03999999999,9491.89,61966.91,-210971.78,-237.6816339001428,0.1885539090444558,0.2961369229502467
12546,JIM BEAM BRANDS COMPANY,3982,Hornitos Reposado Tequila,14.38,19.99,750.0,20819,299377.22000000003,3511.0,74404.89,35040.509999999995,2764.84,123880.97,-224972.33000000002,-302.3622909730799,0.16864402709063836,0.24853223635385482
3960,DIAGEO NORTH AMERICA INC,3456,Tanqueray Sterling Vodka,13.27,18.99,1750.0,22416,297460.32,4051.0,75845.48999999999,26221.309999999998,7443.88,257032.07,-221614.83000000002,-292.1924955590636,0.18071912919343328,0.2549768318678605
12546,JIM BEAM BRANDS COMPANY,1345,Basil Hayden Bourbon,28.45,37.99,750.0,10447,297217.14999999997,2112.0,80967.88,42735.86,1663.33,123880.97,-216249.26999999996,-267.08031629332515,0.20216330046903416,0.27241994615721205
3960,DIAGEO NORTH AMERICA INC,3352,Ciroc Coconut Vodka,18.79,24.99,750.0,15679,294608.41,2634.0,66073.66,14540.269999999999,2074.58,257032.07,-228534.74999999997,-345.87875107872026,0.1679954078703999,0.22427621804822206
