VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1128,BROWN-FORMAN CORP,1236,Southern Comfort & Egg Nog,13.56,18.99,1750.0,8,108.47999999999999,13.0,314.87,216.91,23.89,68601.68,206.39000000000001,65.54768634674627,1.625,2.902562684365782,13.559999999999999,Medium,-67.8
90011,FORTUNE WINE BROKERS LLC,13179,Cinquante-Cinq Viogn Lang Wh,9.03,13.99,750.0,12,108.36,12.0,155.88,12.99,1.35,238.60999999999999,47.519999999999996,30.484988452655887,1.0,1.4385382059800664,9.03,Medium,0.0
4425,MARTIGNETTI COMPANIES,23236,Scaggs Vyds Mt Vedeer Montag,26.89,38.99,750.0,4,107.56,3.0,116.97,116.97,0.33,144929.24,9.409999999999997,8.04479781140463,0.75,1.0874860542952771,26.89,Small,26.89
8004,SAZERAC CO INC,3688,Bowman's Light Vodka,3.56,5.99,1750.0,30,106.8,27.0,170.73,53.900000000000006,49.62,50293.62,63.92999999999999,37.44508873660165,0.9,1.5985955056179775,3.56,Large,10.68
4425,MARTIGNETTI COMPANIES,16998,Ch Rauzan Segla Margaux 09,106.66,159.99,750.0,1,106.66,1.0,159.99,159.99,0.11,144929.24,53.33000000000001,33.333333333333336,1.0,1.5000000000000002,106.66,Small,0.0
7749,R.P.IMPORTS INC,19059,Chateau Carlmagnus 10,17.76,26.99,750.0,6,106.56,5.0,134.95,53.98,0.56,91.5,28.389999999999986,21.037421267135965,0.8333333333333334,1.2664226726726726,17.76,Small,17.76
6785,PALM BAY INTERNATIONAL INC,18357,Cavit Alta Luna Phases Rosso,6.62,10.99,750.0,16,105.92,25.0,249.75,179.82,2.77,13605.41,143.82999999999998,57.589589589589586,1.5625,2.3579116314199395,6.62,Medium,-59.58
9552,M S WALKER INC,33586,Fattoria Del Cerro Vino Nob,8.82,19.99,750.0,12,105.84,14.0,188.85999999999999,40.47,1.57,55551.82,83.01999999999998,43.95848776871756,1.1666666666666667,1.7843915343915342,8.82,Medium,-17.64
10754,PERFECTA WINES,34397,Valckenberg Madonna Spatlese,8.78,12.99,750.0,12,105.36,12.0,155.88,12.99,1.35,28720.52,50.519999999999996,32.409545804464976,1.0,1.479498861047836,8.78,Medium,0.0
12546,JIM BEAM BRANDS COMPANY,2995,Jim Beam Maple,17.51,23.99,1750.0,6,105.06,6.0,143.94,95.96,11.02,123880.97,38.879999999999995,27.011254689453935,1.0,1.3700742432895487,17.51,Small,0.0
