VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
2000,SOUTHERN WINE & SPIRITS NE,12429,F Coppola Diamnd Petite Sira,9.08,15.99,750.0,8,72.64,28.0,415.72,312.79,3.08,19016.59,343.08000000000004,82.5267006639084,3.5,5.723017621145375,9.08,Medium,-181.6
4425,MARTIGNETTI COMPANIES,44972,Mitolo Jester McLaren Shiraz,10.32,18.99,750.0,7,72.24,9.0,143.91,31.98,1.01,144929.24,71.67,49.80195955805712,1.2857142857142858,1.992109634551495,10.319999999999999,Medium,-20.64
3924,HEAVEN HILL DISTILLERIES,5080,Hpnotiq Harmonie,12.02,19.99,750.0,6,72.12,14.0,279.85999999999996,219.89,11.040000000000001,14069.87,207.73999999999995,74.22997212892159,2.3333333333333335,3.880476982806433,12.020000000000001,Small,-96.16
9744,FREDERICK WILDMAN & SONS,14341,Grooner Gruner Veltliner,5.95,8.99,750.0,12,71.4,12.0,115.88,57.94,1.34,3999.93,44.47999999999999,38.384535726613734,1.0,1.6229691876750698,5.95,Medium,0.0
9165,ULTRA BEVERAGE COMPANY LLP,18963,Ruca Malen Yauquen Bonarda,5.47,7.99,750.0,13,71.11,13.0,103.87,7.99,1.46,68054.7,32.760000000000005,31.539424280350442,1.0,1.4606946983546618,5.47,Medium,0.0
9165,ULTRA BEVERAGE COMPANY LLP,20428,Fattoria Poggio Red 10,35.52,53.99,750.0,2,71.04,8.0,431.92,161.97,0.89,68054.7,360.88,83.55250972402295,4.0,6.079954954954955,35.52,Small,-213.12
1392,CONSTELLATION BRANDS INC,17911,Blackstone Winemakers Malbec,4.13,10.99,750.0,17,70.21,16.0,95.84,29.950000000000003,1.79,79528.99,25.63000000000001,26.742487479131892,0.9411764705882353,1.3650477140008548,4.13,Medium,4.13
10754,PERFECTA WINES,25381,Selbach-Oster Riesling,11.64,16.99,750.0,6,69.84,16.0,271.84,237.85999999999999,1.76,28720.52,201.99999999999997,74.30841671571513,2.6666666666666665,3.892325315005727,11.64,Small,-116.4
7153,PINE STATE TRADING CO,4337,Rumson's Grand Rsv Rum,34.91,43.99,750.0,2,69.82,9.0,395.90999999999997,87.98,7.08,15884.82,326.09,82.36467884115076,4.5,5.6704382698367235,34.91,Small,-244.36999999999998
9552,M S WALKER INC,363,4 Orange Vodka,17.05,21.99,1000.0,4,68.2,4.0,87.96,43.98,4.2,55551.82,19.75999999999999,22.46475670759435,1.0,1.2897360703812315,17.05,Small,0.0
90047,CRUSH WINES,22934,Carol Shelton Rocky Rsv Znfd,22.6,32.99,750.0,3,67.80000000000001,4.0,128.96,128.96,0.44,1457.73,61.16,47.42555831265508,1.3333333333333333,1.902064896755162,22.600000000000005,Small,-22.6
9552,M S WALKER INC,22853,Venta Morales Organic Tempra,5.48,8.49,750.0,12,65.76,14.0,118.86,25.47,1.57,55551.82,53.099999999999994,44.67440686521958,1.1666666666666667,1.8074817518248174,5.48,Medium,-10.96
4425,MARTIGNETTI COMPANIES,25003,Tenuta Sette Cieli Indaco,32.65,47.99,750.0,2,65.3,14.0,671.86,143.97,1.56,144929.24,606.5600000000001,90.28071324383056,7.0,10.288820826952527,32.65,Small,-391.79999999999995
4425,MARTIGNETTI COMPANIES,21339,Flowers Sonoma Cst Chard,64.51,105.99,1500.0,1,64.51,2.0,199.98,199.98,0.44,144929.24,135.46999999999997,67.74177417741774,2.0,3.09998449852736,64.51,Small,-64.51
9165,ULTRA BEVERAGE COMPANY LLP,24101,Soli White Blend,5.36,7.99,750.0,12,64.32,142.0,1134.58,727.09,15.76,68054.7,1070.26,94.33094184632199,11.833333333333334,17.639614427860696,5.359999999999999,Medium,-696.8000000000001
9815,WINE GROUP INC,15293,Flip Flop Merlot,5.36,7.99,750.0,12,64.32,12.0,95.88,7.99,1.35,27100.41,31.560000000000002,32.91614518147685,1.0,1.4906716417910448,5.359999999999999,Medium,0.0
2000,SOUTHERN WINE & SPIRITS NE,19955,Ch La Croix de Beaucailou 10,64.18,94.99,750.0,1,64.18,1.0,94.99,94.99,0.11,19016.59,30.809999999999988,32.43499315717443,1.0,1.4800560922405732,64.18,Small,0.0
7153,PINE STATE TRADING CO,5789,Tomahawk Maple Cream Liqueur,12.58,19.99,750.0,5,62.9,12.0,209.88,192.39,9.47,15884.82,146.98,70.03049361539927,2.4,3.336724960254372,12.58,Small,-88.06
7153,PINE STATE TRADING CO,5688,P & J Cold Soaked Peaches,7.8,13.99,375.0,8,62.4,20.0,275.8,275.8,7.800000000000001,15884.82,213.4,77.37490935460478,2.5,4.419871794871795,7.8,Medium,-93.6
9552,M S WALKER INC,21006,Ch Lassegue 05 GC St Emilion,62.08,94.99,750.0,1,62.08,9.0,870.91,288.96999999999997,1.01,55551.82,808.8299999999999,92.87182372460988,9.0,14.028833762886597,62.08,Small,-496.64
90017,THE IMPORTED GRAPE LLC,25745,Riojana Chard,5.17,7.49,750.0,12,62.04,12.0,89.88,7.49,1.35,80.03,27.839999999999996,30.97463284379172,1.0,1.448742746615087,5.17,Medium,0.0
8892,TRINCHERO FAMILY ESTATES,24127,Three Thieves Chard,5.15,7.99,750.0,12,61.8,15.0,119.85,23.97,1.6800000000000002,11595.97,58.05,48.43554443053817,1.25,1.9393203883495145,5.1499999999999995,Medium,-15.450000000000001
9744,FREDERICK WILDMAN & SONS,15496,C Monaci Kreos Rosato,12.16,17.99,750.0,5,60.8,4.0,71.96,71.96,0.44,3999.93,11.159999999999997,15.508615897720954,0.8,1.1835526315789473,12.16,Small,12.16
9165,ULTRA BEVERAGE COMPANY LLP,935,Tanteo Tropical Tequila,30.07,39.99,750.0,2,60.14,3.0,119.97,79.98,2.3600000000000003,68054.7,59.83,49.87080103359173,1.5,1.9948453608247423,30.07,Small,-30.07
7153,PINE STATE TRADING CO,5693,P & J Cold Soaked Berries,7.51,13.99,375.0,8,60.08,5.0,65.95,65.95,1.9500000000000002,15884.82,5.8700000000000045,8.900682335102356,0.625,1.0977030625832225,7.51,Medium,22.53
9552,M S WALKER INC,42162,Beyond Svgn Bl,4.62,10.99,750.0,13,60.059999999999995,12.0,167.88,13.99,1.35,55551.82,107.82,64.22444603288062,0.9230769230769231,2.7952047952047954,4.619999999999999,Medium,4.62
9552,M S WALKER INC,15645,Obsidian Ridge Cab Svgn,19.99,28.99,750.0,3,59.97,3.0,86.97,28.99,0.34,55551.82,27.0,31.04518799586064,1.0,1.4502251125562782,19.99,Small,0.0
10754,PERFECTA WINES,23768,Sociando Mallet 12 Haut-Medo,29.93,43.99,750.0,2,59.86,6.0,263.94,219.95000000000002,0.66,28720.52,204.07999999999998,77.32060316738652,3.0,4.409288339458737,29.93,Small,-119.72
9165,ULTRA BEVERAGE COMPANY LLP,20682,A Bichot Chablis Vaucopins,19.86,41.99,750.0,3,59.58,15.0,434.85,115.96,1.6900000000000002,68054.7,375.27000000000004,86.29872369782684,5.0,7.298590130916415,19.86,Small,-238.32
10754,PERFECTA WINES,20506,Citran Haut-Medoc,19.86,28.99,750.0,3,59.58,6.0,173.94,173.94,0.66,28720.52,114.36,65.74680924456709,2.0,2.919436052366566,19.86,Small,-59.58
9165,ULTRA BEVERAGE COMPANY LLP,16190,Morande Edicion Limitada,9.8,22.99,750.0,6,58.8,4.0,59.96,29.98,0.45,68054.7,1.1600000000000037,1.934623082054709,0.6666666666666666,1.0197278911564627,9.799999999999999,Small,19.6
9165,ULTRA BEVERAGE COMPANY LLP,18628,Viberti Bricco Airoli,19.59,28.99,750.0,3,58.77,5.0,144.95,115.96,0.55,68054.7,86.17999999999998,59.45498447740599,1.6666666666666667,2.466394418921218,19.59,Small,-39.18
17035,PERNOD RICARD USA,1492,The Glenlivet Oloroso Nadu,58.59,79.99,750.0,1,58.59,3.0,239.96999999999997,239.96999999999997,2.37,123780.22,181.37999999999997,75.58444805600699,3.0,4.095750128008191,58.59,Small,-117.18
90011,FORTUNE WINE BROKERS LLC,46418,Ermita Sn Felices Rose Rioja,9.67,15.99,750.0,6,58.02,10.0,158.9,78.95,1.12,238.60999999999999,100.88,63.4864694776589,1.6666666666666667,2.738710789382971,9.67,Small,-38.68
653,STATE WINE & SPIRITS,19943,Viu Manent Rsva Svgn Blanc,4.83,7.49,750.0,12,57.96,12.0,95.88,7.99,1.35,8014.9800000000005,37.919999999999995,39.54943679599499,1.0,1.6542443064182193,4.83,Medium,0.0
4425,MARTIGNETTI COMPANIES,19906,The Pessimist Cab Svgn,4.82,6.99,750.0,12,57.84,12.0,83.88,6.99,1.35,144929.24,26.039999999999992,31.044349070100136,1.0,1.4502074688796678,4.82,Medium,0.0
9552,M S WALKER INC,16200,Gramona Lustros Gr Rsva Cava,28.66,42.99,750.0,2,57.32,2.0,85.98,85.98,0.22,55551.82,28.660000000000004,33.333333333333336,1.0,1.5,28.66,Small,0.0
9552,M S WALKER INC,2938,Kennedy's Original Irish,11.42,15.99,750.0,5,57.1,7.0,111.93,111.93,5.53,55551.82,54.830000000000005,48.98597337621728,1.4,1.960245183887916,11.42,Small,-22.84
17035,PERNOD RICARD USA,5653,Kahlua Cinnamon Spice,14.05,17.99,750.0,4,56.2,13.0,255.86999999999998,235.88,10.26,123780.22,199.66999999999996,78.03572126470473,3.25,4.5528469750889675,14.05,Small,-126.45
10754,PERFECTA WINES,20439,Torremoron Tinto,4.68,13.99,750.0,12,56.16,32.0,217.28,95.06,3.5700000000000003,28720.52,161.12,74.15316642120766,2.6666666666666665,3.868945868945869,4.68,Medium,-93.6
4425,MARTIGNETTI COMPANIES,22108,Emmolo Svgn Blanc,9.08,13.99,750.0,6,54.48,10.0,139.9,69.95,1.12,144929.24,85.42000000000002,61.05789849892781,1.6666666666666667,2.5679148311306905,9.08,Small,-36.32
7153,PINE STATE TRADING CO,45446,Coastal Vines Cab Svgn Cal,4.54,6.99,750.0,12,54.48,36.0,251.64,6.99,4.05,15884.82,197.16,78.35002384358609,3.0,4.618942731277533,4.54,Medium,-108.96000000000001
2000,SOUTHERN WINE & SPIRITS NE,23332,Ch Haut Beausejour 11 Esteph,17.99,26.99,750.0,3,53.97,3.0,80.97,80.97,0.33,19016.59,27.0,33.34568358651352,1.0,1.500277932184547,17.99,Small,0.0
1392,CONSTELLATION BRANDS INC,2115,Black Velvet,4.88,7.99,750.0,11,53.68,55.0,359.95,282.07,43.370000000000005,79528.99,306.27,85.08681761355744,5.0,6.705476900149031,4.88,Medium,-214.72
10754,PERFECTA WINES,24578,Jean Laurent Blanc de Noirs,26.81,40.49,750.0,2,53.62,4.0,193.46,193.46,0.44,28720.52,139.84,72.28367621213687,2.0,3.607982096232749,26.81,Small,-53.62
6785,PALM BAY INTERNATIONAL INC,24476,Les Pasquets Entre Deux Mers,6.7,9.99,750.0,8,53.6,12.0,119.88,89.91,1.33,13605.41,66.28,55.28862195528863,1.5,2.2365671641791045,6.7,Medium,-26.8
9165,ULTRA BEVERAGE COMPANY LLP,7205,Woodstock Hot Licks,8.91,15.99,750.0,6,53.46,12.0,137.88,137.88,9.48,68054.7,84.41999999999999,61.22715404699738,2.0,2.579124579124579,8.91,Small,-53.46
12546,JIM BEAM BRANDS COMPANY,1878,Jim Beam White BBQ Sauce Pak,10.65,16.49,750.0,5,53.25,12.0,185.88,185.88,9.48,123880.97,132.63,71.35248547449967,2.4,3.4907042253521126,10.65,Small,-74.55
8664,"STOLI GROUP,(USA) LLC",7590,Stoli 80 VAP Lemonade Shaker,13.27,16.99,750.0,4,53.08,47.0,851.53,709.6099999999999,37.08,18544.49,798.4499999999999,93.76651439174192,11.75,16.04238884702336,13.27,Small,-570.61
9815,WINE GROUP INC,37733,Corbett Canyon Wh Znfdl,8.84,12.99,3000.0,6,53.04,6.0,77.94,12.99,2.7,27100.41,24.9,31.947652040030793,1.0,1.4694570135746605,8.84,Small,0.0
4425,MARTIGNETTI COMPANIES,39104,Olivier Chablis Savary,8.78,25.99,750.0,6,52.67999999999999,5.0,64.95,38.97,0.55,144929.24,12.27000000000001,18.891454965357983,0.8333333333333334,1.2329157175398635,8.78,Small,8.78
4692,KOBRAND CORPORATION,25089,Jadot Saint Aubin 13,26.2,37.99,750.0,2,52.4,4.0,151.96,75.98,0.44,9139.38,99.56,65.51724137931035,2.0,2.9000000000000004,26.2,Small,-52.4
9552,M S WALKER INC,20549,Fifty Shades Of Grey Wh Silk,7.48,10.99,750.0,7,52.36,7.0,76.93,54.95,0.77,55551.82,24.570000000000007,31.938125568698823,1.0,1.469251336898396,7.4799999999999995,Medium,0.0
4425,MARTIGNETTI COMPANIES,24531,Joseph Drouhin Cote de Beaun,17.1,25.99,750.0,3,51.300000000000004,14.0,363.86,155.94,1.56,144929.24,312.56,85.90117077997031,4.666666666666667,7.0927875243664715,17.1,Small,-188.10000000000002
9165,ULTRA BEVERAGE COMPANY LLP,5610,West Indies Blue Mtn Coffee,25.57,32.99,750.0,2,51.14,3.0,98.97,98.97,2.37,68054.7,47.83,48.327776093765785,1.5,1.9352757137270238,25.57,Small,-25.57
10754,PERFECTA WINES,36069,Ch Lagrange 10,51.0,105.99,750.0,1,51.0,6.0,455.94,151.98,0.67,28720.52,404.94,88.81431767337807,6.0,8.94,51.0,Small,-255.0
9165,ULTRA BEVERAGE COMPANY LLP,12133,Pro.mis.Q.ous White CA,4.24,12.99,750.0,12,50.88,9.0,55.71,24.76,1.01,68054.7,4.829999999999998,8.669897684437261,0.75,1.0949292452830188,4.24,Medium,12.72
2000,SOUTHERN WINE & SPIRITS NE,1215,Tullibardine Sherry Finish,50.77,64.99,750.0,1,50.77,8.0,519.92,519.92,6.32,19016.59,469.15,90.23503615940915,8.0,10.24069332282844,50.77,Small,-355.39000000000004
10754,PERFECTA WINES,23753,Ch Grand Puy-Lacoste 12 Paul,49.66,74.99,750.0,1,49.66,5.0,374.95,374.95,0.55,28720.52,325.28999999999996,86.75556740898786,5.0,7.550342327829239,49.66,Small,-198.64
10754,PERFECTA WINES,38112,Canyon Oaks Znfdl Cal,4.13,5.99,750.0,12,49.56,12.0,71.88,5.99,1.35,28720.52,22.319999999999993,31.051752921535886,1.0,1.4503631961259078,4.13,Medium,0.0
8892,TRINCHERO FAMILY ESTATES,24132,Sutter Home Malbec Arg,4.07,5.99,750.0,12,48.84,12.0,71.88,5.99,1.35,11595.97,23.039999999999992,32.05342237061768,1.0,1.4717444717444716,4.07,Medium,0.0
9165,ULTRA BEVERAGE COMPANY LLP,22420,Farm Napa Vly Chard,16.23,24.99,750.0,3,48.69,16.0,399.84,99.96,1.81,68054.7,351.15,87.82262905162065,5.333333333333333,8.211953173136168,16.23,Small,-210.99
7153,PINE STATE TRADING CO,22098,LAN Rsva Rioja,16.21,27.99,750.0,3,48.63,5.0,118.94999999999999,46.98,0.56,15884.82,70.32,59.11727616645649,1.6666666666666667,2.4460209747069706,16.21,Small,-32.42
4425,MARTIGNETTI COMPANIES,31176,Penfld Bin 407 Cab Svgn Ausl,47.94,69.99,750.0,1,47.94,2.0,139.98,139.98,0.22,144929.24,92.03999999999999,65.75225032147449,2.0,2.9198998748435545,47.94,Small,-47.94
2000,SOUTHERN WINE & SPIRITS NE,19695,Ch Bernadotte 10 Haut Medoc,23.8,34.99,750.0,2,47.6,2.0,69.98,69.98,0.22,19016.59,22.380000000000003,31.98056587596456,1.0,1.4701680672268909,23.8,Small,0.0
4425,MARTIGNETTI COMPANIES,21280,Rodney Strong Bros Ridge Cab,47.09,72.99,750.0,1,47.09,2.0,145.98,145.98,0.22,144929.24,98.88999999999999,67.742156459789,2.0,3.100021235931195,47.09,Small,-47.09
9165,ULTRA BEVERAGE COMPANY LLP,22004,Smashberry Red,3.91,9.99,750.0,12,46.92,35.0,217.04999999999998,18.57,3.93,68054.7,170.13,78.38286109191431,2.9166666666666665,4.625959079283887,3.91,Medium,-89.93
9815,WINE GROUP INC,16869,Cupcake Chianti,4.57,11.99,750.0,10,45.7,8.0,55.92,48.93,0.88,27100.41,10.219999999999999,18.2761087267525,0.8,1.22363238512035,4.57,Medium,9.14
10754,PERFECTA WINES,4010,Armorik Single Malt Whiskey,45.11,59.99,750.0,1,45.11,4.0,239.96,239.96,3.16,28720.52,194.85000000000002,81.20103350558428,4.0,5.319441365550876,45.11,Small,-135.32999999999998
2000,SOUTHERN WINE & SPIRITS NE,45059,Falesco Sangiovese Umbria,8.78,12.99,750.0,5,43.9,16.0,222.84,183.87,1.77,19016.59,178.94,80.29976664871657,3.2,5.076082004555809,8.78,Small,-96.58
3924,HEAVEN HILL DISTILLERIES,1972,Admiral Nelson Egg Nog,5.46,6.99,750.0,8,43.68,7.0,44.93,32.95,5.51,14069.87,1.25,2.782105497440463,0.875,1.028617216117216,5.46,Medium,5.46
4425,MARTIGNETTI COMPANIES,3777,Spring 44 Honey Vodka,21.7,27.99,750.0,2,43.4,2.0,55.98,55.98,1.58,144929.24,12.579999999999998,22.472311539835655,1.0,1.2898617511520738,21.7,Small,0.0
3252,E & J GALLO WINERY,8038,Livingston Clrs Rhine Calif,4.33,11.99,3000.0,10,43.3,8.0,51.92,38.94,3.6,61966.91,8.620000000000005,16.6024653312789,0.8,1.1990762124711318,4.33,Medium,8.66
8004,SAZERAC CO INC,5434,Southern Comfort Caramel,8.64,13.99,750.0,5,43.2,5.0,57.45,57.45,3.95,50293.62,14.25,24.804177545691903,1.0,1.3298611111111112,8.64,Small,0.0
6213,MHW LTD,1565,Galliano Tiki Gift Pack,14.39,18.99,375.0,3,43.17,3.0,56.97,37.98,1.1800000000000002,9621.58,13.799999999999997,24.223275408109526,1.0,1.3196664350243223,14.39,Small,0.0
9552,M S WALKER INC,23400,Pico & Vine Cab Svgn Napa,7.14,18.99,750.0,6,42.84,36.0,377.64,146.86,4.0200000000000005,55551.82,334.79999999999995,88.65586272640608,6.0,8.815126050420167,7.140000000000001,Small,-214.2
1128,BROWN-FORMAN CORP,5062,Southern Comfort Lime,8.39,13.99,750.0,5,41.95,9.0,103.41,68.94,7.1,68601.68,61.459999999999994,59.43332366308868,1.8,2.46507747318236,8.39,Small,-33.56
6785,PALM BAY INTERNATIONAL INC,8558,Irishman Cream Liqueur,10.39,17.99,750.0,4,41.56,5.0,64.95,25.98,3.94,13605.41,23.39,36.01231716705158,1.25,1.5628007699711262,10.39,Small,-10.39
7245,PROXIMO SPIRITS INC.,926,Hangar One Kaffir Lime Vodk,20.58,27.99,750.0,2,41.16,2.0,55.98,55.98,1.58,38994.78,14.82,26.47374062165059,1.0,1.3600583090379008,20.58,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,20685,A Bichot Ch Gris Nuits St Ge,40.68,83.99,750.0,1,40.68,4.0,235.96,235.96,0.44,68054.7,195.28,82.75978979488049,4.0,5.80039331366765,40.68,Small,-122.03999999999999
9819,TREASURY WINE ESTATES,18978,900 Grapes Svgn Bl,6.75,9.99,750.0,6,40.5,6.0,59.94,9.99,0.68,14836.57,19.439999999999998,32.43243243243243,1.0,1.48,6.75,Small,0.0
4692,KOBRAND CORPORATION,25061,Jadot Vosne Romanee 13,40.26,59.99,750.0,1,40.26,5.0,299.95,179.97,0.55,9139.38,259.69,86.57776296049342,5.0,7.450322901142574,40.26,Small,-161.04
10754,PERFECTA WINES,21503,Cambrige Meritage Napa Vly,13.42,20.99,750.0,3,40.26,8.0,183.92,160.92999999999998,0.88,28720.52,143.66,78.11004784688996,2.6666666666666665,4.5683060109289615,13.42,Small,-67.1
4425,MARTIGNETTI COMPANIES,22107,Emmolo Merlot,39.99,57.99,750.0,1,39.99,7.0,405.93,289.95,0.77,144929.24,365.94,90.14854777917375,7.0,10.150787696924231,39.99,Small,-239.94
9165,ULTRA BEVERAGE COMPANY LLP,13394,Debauchery Chard,3.99,13.99,750.0,10,39.9,17.0,98.43,17.37,1.9100000000000001,68054.7,58.53000000000001,59.463578177384946,1.7,2.466917293233083,3.9899999999999998,Medium,-27.93
4425,MARTIGNETTI COMPANIES,35714,Miner Chard Napa,19.73,29.99,750.0,2,39.46,4.0,119.96,89.97,0.44,144929.24,80.5,67.10570190063355,2.0,3.0400405473897614,19.73,Small,-39.46
10754,PERFECTA WINES,19769,Kismet Wine Papa's All-Black,13.15,29.99,750.0,3,39.45,9.0,179.91,79.96,1.0,28720.52,140.45999999999998,78.07236951809237,3.0,4.560456273764258,13.15,Small,-78.9
2000,SOUTHERN WINE & SPIRITS NE,44033,Zardetto Pros di Coneg Brut,3.24,4.99,187.0,12,38.88,11.0,57.89,42.42,0.32999999999999996,19016.59,19.009999999999998,32.8381413024702,0.9166666666666666,1.488940329218107,3.24,Medium,3.24
10754,PERFECTA WINES,23145,Ch de Chantegrive Graves Rou,19.2,28.99,750.0,2,38.4,13.0,376.87,347.88,1.43,28720.52,338.47,89.81081009366626,6.5,9.814322916666667,19.2,Small,-211.2
1128,BROWN-FORMAN CORP,2577,Jack Daniels 2 Yr Rested Rye,37.87,49.99,750.0,1,37.87,2.0,99.98,99.98,1.58,68601.68,62.11000000000001,62.12242448489699,2.0,2.6400844996039083,37.87,Small,-37.87
4692,KOBRAND CORPORATION,11280,Cabreo La Pietra White,18.82,28.99,750.0,2,37.64,5.0,148.95,148.95,0.55,9139.38,111.30999999999999,74.72977509231285,2.5,3.957226354941551,18.82,Small,-56.46
9744,FREDERICK WILDMAN & SONS,24393,Ch Fuisse Pouilly Fuisse Les,37.23,53.99,750.0,1,37.23,7.0,377.93,269.95,0.78,3999.93,340.7,90.1489693858651,7.0,10.151222132688693,37.23,Small,-223.38
4425,MARTIGNETTI COMPANIES,24260,Red Car Ritchie Vyd Chard,36.54,52.99,750.0,1,36.54,3.0,158.97,52.99,0.34,144929.24,122.43,77.01453104359314,3.0,4.350574712643678,36.54,Small,-73.08
480,BACARDI USA INC,1020,B & B Dom VAP,18.11,28.99,750.0,2,36.22,6.0,149.94,99.96,4.73,89286.27,113.72,75.843670801654,3.0,4.139701822197681,18.11,Small,-72.44
8664,"STOLI GROUP,(USA) LLC",3147,Stolichnaya Chocolat Kokonut,0.71,0.99,50.0,51,36.21,232.0,229.68,107.91,11.92,18544.49,193.47,84.23458725182863,4.549019607843137,6.342999171499586,0.71,Large,-128.51
3960,DIAGEO NORTH AMERICA INC,4173,Capt Morgan Spiced Rum 100,0.79,0.99,50.0,44,34.760000000000005,26.0,39.24,6.960000000000001,1.3599999999999999,257032.07,4.479999999999997,11.41692150866462,0.5909090909090909,1.1288837744533946,0.7900000000000001,Large,14.22
9552,M S WALKER INC,20250,Alma Negra Gran Almanegra,34.48,49.99,750.0,1,34.48,1.0,49.99,49.99,0.11,55551.82,15.510000000000005,31.026205241048217,1.0,1.4498259860788865,34.48,Small,0.0
4692,KOBRAND CORPORATION,25083,Jadot Rully 13,17.1,25.99,750.0,2,34.2,8.0,207.92,155.94,0.88,9139.38,173.71999999999997,83.55136590996536,4.0,6.079532163742689,17.1,Small,-102.60000000000001
4425,MARTIGNETTI COMPANIES,17863,Tommasi Poggio Tufo Cab Svgn,6.8,16.99,750.0,5,34.0,5.0,49.95,9.99,0.56,144929.24,15.950000000000003,31.931931931931935,1.0,1.4691176470588236,6.8,Small,0.0
9552,M S WALKER INC,41079,Aalto Ribera Del Duero Red,33.78,49.99,750.0,1,33.78,1.0,49.99,49.99,0.11,55551.82,16.21,32.42648529705941,1.0,1.4798697454114862,33.78,Small,0.0
7749,R.P.IMPORTS INC,19592,Ch Fonroque St Emilion 10,33.76,51.99,750.0,1,33.76,1.0,51.99,51.99,0.11,91.5,18.230000000000004,35.06443546835931,1.0,1.539988151658768,33.76,Small,0.0
9552,M S WALKER INC,3159,Sobieski Vodka,5.59,9.99,750.0,6,33.54,15.0,112.35,82.39,11.82,55551.82,78.81,70.1468624833111,2.5,3.349731663685152,5.59,Small,-50.31
4425,MARTIGNETTI COMPANIES,2750,Henry DuYore's Strgt Bourbon,33.33,42.99,750.0,1,33.33,6.0,257.94,257.94,4.74,144929.24,224.61,87.078390323331,6.0,7.738973897389739,33.33,Small,-166.64999999999998
9552,M S WALKER INC,24572,Galerie Latro Cab S Knights,33.33,49.99,750.0,1,33.33,3.0,149.97,149.97,0.33,55551.82,116.64,77.77555511102221,3.0,4.4995499549955,33.33,Small,-66.66
3252,E & J GALLO WINERY,14620,Bodega Elena de Mendoza Mlbc,4.76,6.99,750.0,7,33.32,16.0,111.84,48.93,1.79,61966.91,78.52000000000001,70.20743919885551,2.2857142857142856,3.3565426170468187,4.76,Medium,-42.839999999999996
9552,M S WALKER INC,19417,Latour 11 Merslt-Blgny P Cru,33.11,49.99,750.0,1,33.11,6.0,299.94,249.95000000000002,0.66,55551.82,266.83,88.96112555844502,6.0,9.058894593778314,33.11,Small,-165.55
1392,CONSTELLATION BRANDS INC,18000,Vendange Sweet White,2.75,6.99,1500.0,12,33.0,12.0,47.88,35.910000000000004,2.67,79528.99,14.880000000000003,31.077694235588975,1.0,1.450909090909091,2.75,Medium,0.0
4425,MARTIGNETTI COMPANIES,21519,Copain Monument Tree Pnt Nr,32.89,49.99,750.0,1,32.89,2.0,99.98,99.98,0.22,144929.24,67.09,67.10342068413682,2.0,3.0398297354819093,32.89,Small,-32.89
10754,PERFECTA WINES,15871,Cyan Toro Zamora,10.95,15.99,750.0,3,32.85,9.0,143.91,127.92,0.99,28720.52,111.06,77.17323327079426,3.0,4.380821917808219,10.950000000000001,Small,-65.69999999999999
10754,PERFECTA WINES,20178,Robert Sinskey Pnt Bl,16.33,24.99,375.0,2,32.66,4.0,99.96,74.97,0.22999999999999998,28720.52,67.3,67.32693077230893,2.0,3.0606246172688305,16.33,Small,-32.66
3924,HEAVEN HILL DISTILLERIES,867,Rosita Tequila Liqueur,5.4,7.29,1000.0,6,32.400000000000006,5.0,36.45,14.58,5.25,14069.87,4.049999999999997,11.111111111111102,0.8333333333333334,1.125,5.400000000000001,Small,5.4
4692,KOBRAND CORPORATION,11274,Nardi Brunello di Montalcino,32.18,49.99,750.0,1,32.18,1.0,49.99,49.99,0.11,9139.38,17.810000000000002,35.62712542508502,1.0,1.5534493474207582,32.18,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,23496,Ch Reserve d La Cometesse 11,31.5,45.99,750.0,1,31.5,1.0,45.99,45.99,0.11,19016.59,14.490000000000002,31.506849315068497,1.0,1.46,31.5,Small,0.0
9815,WINE GROUP INC,13544,Lucky Duck Cab Svgn,2.61,3.79,750.0,12,31.32,12.0,45.48,3.79,1.35,27100.41,14.159999999999997,31.134564643799468,1.0,1.4521072796934864,2.61,Medium,0.0
9744,FREDERICK WILDMAN & SONS,11259,Jaboulet Crozes Herm 10 Thal,31.16,47.99,750.0,1,31.16,1.0,47.99,47.99,0.11,3999.93,16.830000000000002,35.06980620962701,1.0,1.5401155327342748,31.16,Small,0.0
9552,M S WALKER INC,3892,Zhenka Vodka 80 Proof,2.18,3.99,750.0,14,30.52,17.0,67.83,15.96,13.39,55551.82,37.31,55.00515995872034,1.2142857142857142,2.2224770642201834,2.18,Medium,-6.540000000000001
7153,PINE STATE TRADING CO,4723,Kinky Flame Whisky,0.77,0.99,50.0,39,30.03,247.0,244.53,76.23,12.83,15884.82,214.5,87.71929824561403,6.333333333333333,8.142857142857142,0.77,Large,-160.16
7153,PINE STATE TRADING CO,2137,Glen Moray 10 Yr Chard Cask,29.99,40.99,750.0,1,29.99,15.0,579.35,469.88,11.84,15884.82,549.36,94.8235091050315,15.0,19.318106035345117,29.99,Small,-419.85999999999996
